Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
"buy:买票(7,1,1)",60000,57,0,587,31.66,0.000%,72.69379,13.11,29.74,184.7
"buy:买票(7,1,1 Copy user3)",60000,57,0,576,31.02,0.000%,72.70277,13.12,29.75,184.8
"buy:买票(7,1,1 Copy Copy user5)",60000,57,0,596,31.35,0.000%,72.70418,13.12,29.75,184.8
"buy:买票(7,1,2 Copy)",60000,57,0,542,31.43,0.000%,72.70665,13.12,29.75,184.8
"buy:买票(7,1,2)",60000,57,0,576,31.00,0.000%,72.70885,13.12,29.75,184.8
"buy:买票(7,1,2 Copy Copy)",60000,58,0,602,31.52,0.000%,72.71106,13.12,0.00,184.8
"buy:买票(7,1,3 Copy)",60000,59,0,579,33.03,0.000%,72.72128,13.06,29.76,183.9
"buy:买票(7,1,3)",60000,59,0,600,33.03,0.000%,72.72304,13.06,29.76,183.9
"buy:买票(7,1,3 Copy Copy)",60000,59,0,591,33.33,0.000%,72.72621,13.06,29.76,183.8
"buy:买票(7,1,4)",60000,59,0,545,32.51,0.000%,72.72727,13.06,29.76,183.9
"buy:买票(7,1,4 Copy)",60000,59,0,586,32.72,0.000%,72.73150,13.07,29.76,184.0
"buy:买票(7,1,4 Copy Copy)",60000,59,0,595,32.74,0.000%,72.73591,13.06,29.76,183.9
"buy:买票(7,1,5)",60000,59,0,588,33.22,0.000%,72.73900,13.06,29.76,183.9
"buy:买票(7,1,5 Copy Copy)",60000,59,0,581,32.81,0.000%,72.74491,13.07,29.77,183.9
"buy:买票(7,1,5 Copy)",60000,59,0,587,33.09,0.000%,72.74658,13.06,29.77,183.9
"buy:退票(7,1,2)",60000,138,0,825,48.27,0.000%,72.74861,11.58,31.19,163.0
"buy:退票(7,1,1)",60000,116,0,640,38.20,0.000%,72.76052,11.58,31.19,163.0
"buy:退票(7,1,3)",60000,140,0,778,45.98,0.000%,72.77094,11.58,31.20,163.0
"buy:退票(7,1,5)",60000,137,0,781,44.69,0.000%,72.78841,11.59,31.21,163.0
"buy:退票(7,1,4)",60000,136,0,773,44.34,0.000%,72.80078,11.59,31.21,163.0
"buy:退票(7,1,1 Copy user3)",60000,116,0,609,38.37,0.000%,72.82084,11.59,31.22,163.0
"buy:退票(7,1,1 Copy Copy user5)",60000,117,0,777,38.77,0.000%,72.82941,11.59,31.22,163.0
"buy:退票(7,1,2 Copy)",60000,141,0,785,46.37,0.000%,72.83816,11.59,31.23,163.0
"buy:退票(7,1,2 Copy Copy)",60000,135,0,702,44.54,0.000%,72.84568,11.60,31.23,163.0
"buy:退票(7,1,3 Copy)",60000,136,0,665,43.61,0.000%,72.85523,11.60,31.23,163.0
"buy:退票(7,1,3 Copy Copy)",60000,0,0,66,1.16,0.000%,72.86284,8.75,31.17,123.0
"buy:退票(7,1,4 Copy)",60000,135,0,811,43.80,0.000%,72.86275,11.60,31.24,163.0
"buy:退票(7,1,4 Copy Copy)",60000,135,0,769,43.90,0.000%,72.87045,11.60,31.24,163.0
"buy:退票(7,1,5 Copy)",60000,135,0,773,42.97,0.000%,72.87682,11.60,31.24,163.0
"buy:退票(7,1,5 Copy Copy)",60000,135,0,779,43.65,0.000%,72.88045,11.60,31.24,163.0
总体,1800000,91,0,825,55.12,0.000%,2180.08468,366.80,883.53,172.3
